,Nama,NPWP
1,             PT.SAKA GURU BAHAGIA          ,31.266.839.5-412.000
2,             AGHNIA MEDIA UTAMA          ,42.912.633.7-001.000
3,             PT. REZEKI BAHARI PERDANA          ,80.592.178.0-001.000
13,             CV. PUTRA BHAKTI PERSADA          ,60.422.585.4-602.000
14,             PT. ENERGI INDOTERA          ,43.350.815.7-429.000
17,             PT.FENARINDO SIANTAR          ,03.295.675.7-005.000
18,             PT. FINDI JAYA MANDIRI          ,66.221.385.9-323.000
19,             PT. LENTERA BAHARI PUTRA MAS          ,80.415.472.2-034.000
21,             PT. TRANSWISATA PRIMA AVIATION          ,01.969.841.4-007.000
33,             CV. MAJA KREASINDO          ,43.931.253.9-702.000
34,             PT. TAMITA WIRA CENDANA          ,63.404.121.4-002.000
35,             REVANINDO ABADI JAYA          ,75.255.907.0-034.000
37,             CV. MITRA PERDANA          ,75.012.440.6-101.000
45,             PT Graha Mega Sinergi          ,96.712.651.7-061.000
48,             CV. Ragam Aneka Berkarya          ,93.493.392.0-427.000
52,             PT. TRITEX MAKMUR SEJAHTERA          ,42.200.607.2-421.000
54,             PT. INTEGRASI IDE INDONESIA          ,43.928.292.2-619.000
59,             PT PROTEKSI PUTRI MANDIRI          ,41.019.265.2-421.000
60,             PT GEMA MULIA SEMESTA          ,85.203.841.3-434.000
70,             PT Insan waskita Nusantara          ,90.248.570.5-404.000
74,             CV. SURYA GAMA          ,02.942.182.3-731.000
75,             CHANEL          ,02.868.484.3-821.000
81,             TRISULA DELAPAN SEMBILAN          ,41.287.208.7-421.000
83,             Berkah Sejahtera Mandiri          ,02.971.133.0-101.000
86,             CV. WIDA UTAMA MAKMUR          ,71.446.988.9-517.000
88,             RIEFNA KARYA BANGUNAN SPESIALIS          ,83.297.398.6-086.000
90,             PT Lestari Bintang Mandiri          ,72.492.468.3-435.000
93,             PT. DINAMIKA ARDAFA MEGATAMA          ,53.441.779.5-429.000
97,             ANUGRAH WIJAYA RAHAYU          ,03.350.918.3-404.000
101,             PT NARISKI CAHAYA BARU          ,41.437.418.1-603.000
109,             Ria Panas Sipoholon          ,02.602.837.3-432.000
115,             CV ANUGRAH ARIF ARFAN          ,93.747.418.7-401.000
116,             PUTRA SOETRADIREDJA          ,53.974.962.2-443.000
117,             Chandra Sakha Pratama          ,41.134.264.5-443.000
118,             NARISKI          ,02.967.867.9-643.000
119,             CV. AMARTA WISESA          ,02.378.265.9-623.000
128,             Srikandi          ,02.059.516.1-434.000
134,             PT. BETHESDA PERSADA          ,71.073.786.7-215.000
137,             PT MEGA ADVANS TEKNOLOGI          ,70.747.254.4-033.000
138,             CV.OMEGA TEKNIK          ,01.508.467.6-502.000
143,             acp bandung          ,42.991.457.5-422.000
151,             PT NUSA UNGGUL PRATAMA          ,41.383.886.3-423.000
153,             Kibar Sonjaya Putra          ,96.143.380.2-424.000
155,             PT TRIGLOBALINDO BERKAT UTAMA          ,70.616.758.2-407.000
156,             CV. ABDITA          ,71.305.984.8-421.000
158,             CV.DN          ,74.365.049.1-438.000
159,             CV. Aro Suka Abadi          ,72.601.010.1-043.000
169,             PT Elang Surya Global          ,63.351.941.8-541.000
171,             PT RAHAYU PRATAMA GRUP          ,95.650.329.6-603.000
176,             cv berkah anugerah naura          ,90.061.824.0-401.000
177,             PT. TRI AGRAPANA MANUNGGAL          ,94.997.814.2-414.000
180,             Dope Supply Indonesia          ,90.681.386.0-202.000
187,             ADETE CAKTI CONSULTAMA ENERGY          ,63.720.959.4-403.000
188,             PT SINGULARITI MULTI  TRI TEKNOLOGI          ,75.295.815.7-011.000
197,             PT INTECH SOLUSI PERKASA          ,96.189.205.6-017.000
200,             Golden Compass Indonesia          ,02.881.835.9-004.000
201,             PT. Totomas          ,02.461.274.9-047.000
203,             CV. TIGA MENARA          ,70.529.716.6-941.000
206,             PT. DHEKA VISI TAMA          ,41.353.162.5-411.000
215,             Rayasurverindo Tirtasarana          ,01.118.712.7-423.000
216,             PT.MULTI HEXAGUNA KARYA          ,01.956.445.9-429.000
217,             DITORI GEOKARYA TEKNIK          ,01.708.605.9-428.000
218,             PT. GIRI AWAS          ,01.257.375.4-424.000
219,             CV.AGPELINDO PRIMA KONSULTAN          ,03.070.120.5-307.000
221,             PT. METAFORMA CONSULTANS          ,01.118.819.0-429.000
223,             PT. GALEN SAGARA PERKASA          ,31.803.937.7-424.000
226,             adhigana tirta makmur          ,71.099.549.9-605.000
227,             PT. KAWI EKA KARYA          ,01.368.494.9-044.000
236,             PT TAJAKO ABADI SEJAHTERA GROUP          ,80.521.446.7-518.000
238,             CULTURE INDONESIA PERSADA          ,53.742.601.7-453.000
244,             PT. BERKAH SEBUTIR BENIH          ,92.213.571.0-005.000
251,             Trimuda Gemilang          ,95.435.848.7-424.000
252,             CV. DE SAMPLEROOM          ,31.266.468.3-003.000
261,             CV PLANET PRODUCTION          ,02.481.025.1-423.000
263,             CV. FAMILY JAYA PERDANA MANDIRI          ,95.119.576.7-102.000
267,             Terra Inovasi Medika          ,94.818.405.6-063.000
268,             PT Panca Prima Maju Bersaudara          ,43.916.235.5-063.000
279,             PT. ADHI HUTAMA KONSULINDO          ,84.054.217.9-609.000
281,             RAHAYU TRITAMA ARSINDO          ,83.600.511.6-412.000
282,             PT. LAPI Ganeshatama Consulting          ,01.583.421.1-441.000
283,             CV. CIPTA PURNAMA MANDIRI          ,02.240.043.6-623.000
285,             PT. RAMU PRIMA PERSADA          ,31.798.022.5-428.000
286,             PT. Gumilang Sajati          ,02.778.681.3-423.000
288,             CV. ARAS BINA ENERGI          ,21.011.225.6-122.000
290,             CV. CHRIST RESORT SADA          ,93.106.933.0-122.000
292,             Multipar Sapta Tama          ,01.776.081.0-009.000
293,             PT. KHANSA NIAGA PRATAMA          ,70.824.293.8-422.000
295,             CV. GATAS PUTRA CEMERLANG          ,95.463.932.4-425.000
298,             CV.HAIROS KREASINDO NUSANTARA          ,21.011.223.1-122.000
301,             ADVANCED POWER TECH          ,02.663.151.5-043.000
307,             PT. Phiraka Sinergi Indonesia          ,90.165.042.4-067.000
308,             PT. TELKOM SATELIT INDONESIA          ,01.061.120.0-093.000
319,             PT. DHARMA BANDAR MANDALA          ,01.882.135.5-027.000
328,             CV.UKI          ,81.295.740.5-821.000
331,             CV. Jaya Makmur Berdikari          ,85.786.488.8-013.000
333,             PT. PILAR BANGUN KREASI          ,41.664.767.5-009.000
352,             PT. GHOSSAN PRATAMA          ,02.097.397.0-432.000
354,             PT. RAJAWALI LINTAS KREASI          ,02.466.973.1-028.000
357,             PT TERRA DRONE INDONESIA          ,76.063.219.0-424.000
359,             PT. CITRA IDE SELARAS          ,31.627.838.1-432.000
360,             PT. CITRA BHUMI INDONESIA          ,74.378.709.5-017.000
361,             PT. Geo Nusantara Teknologi          ,41.671.959.9-017.000
362,             PT. Andhu Adha Perkasa Techmil          ,03.235.949.9-009.000
363,             PT METERA KARYA GEMILANG          ,91.123.472.2-077.000
365,             PT. Chroma International          ,02.972.031.5-428.000
368,             CV. Hade Panin          ,02.790.515.7-428.000
371,             PT. Aero Terra Indonesia          ,66.336.993.2-424.000
377,             CV Bie Jav Engineering          ,83.016.985.0-518.000
389,             AULIA AHMADA PERSADA          ,81.252.896.6-086.000
391,             cv. kitajaya          ,94.778.646.3-101.000
393,             PT.TIGADOLOK CIPTA KARYA          ,94.549.521.6-009.000
395,             CV.MARGA JAYA          ,02.091.325.7-404.000
397,             PT. DAYA BOHO MANDIRI          ,01.328.947.5-004.000
400,             PT. MUTIARA KARYA WIJAYA          ,02.459.990.4-215.000
401,             CV.JURU BINA          ,02.945.539.1-101.000
402,             CV. Bumi Hijau          ,02.229.610.7-612.000
403,             CV. SARI BUNGA          ,90.559.428.9-101.000
404,             cv.amira pratama          ,70.188.876.0-216.000
406,             CV. CIPTA BANGUN PERSADA          ,71.342.369.7-203.000
407,             PT. DIRGANTARA SAMUDERA PERKASA          ,92.831.092.7-105.000
410,             PT STEVENINDO PERDANA INTERNATIONAL          ,01.320.807.9-011.000
415,             Hita Karya Teknik          ,92.237.417.8-435.000
416,             PT. Esence Sarana Medika          ,31.816.834.1-518.000
418,             CV. SARANA REZEKI MANDIRI          ,31.298.814.0-411.000
420,             Arion Indonesia          ,31.312.923.1-652.000
432,             PT. HARRISMA INFORMATIKA JAYA          ,01.601.103.3-038.000
435,             CV. SARANA INFORMATIKA NUSANTARA          ,02.867.640.1-005.000
436,             GLOBAL KARYA CIPTA          ,75.903.461.4-408.000
438,             CV. Permata Hati          ,31.225.201.8-615.000
439,             PT. KALINDA SUKSES ABADI          ,03.218.145.5-015.000
440,             CV.SENTANI JAYA          ,41.121.011.5-455.000
443,             CV Mitra Prima Daya          ,31.736.348.9-606.000
451,             PT. AMTEK SOLUSINDO          ,66.209.473.9-044.000
456,             PT. Sabasior Internasional          ,73.130.725.2-424.000
460,             PT. INTERPRIMA INDOCOM          ,01.356.007.3-073.000
463,             PT. MUSTIKA CIPTA PRIMA          ,96.845.945.3-074.000
471,             PT. LAPLASINDO PRATAMA          ,01.357.943.8-029.000
472,             PT KHARISMA MAKMUR JAYA          ,31.589.871.8-086.000
473,             PT. ACCURASCI PRIMA VALENT          ,83.689.065.7-404.000
474,             PT. Labalaba Citra Inovasi          ,02.648.871.8-411.000
476,             PT. Pradata Integra Media          ,31.711.190.4-032.000
477,             PT. JOGLOSEMAR MEDIA TECHNOLOGY          ,94.383.526.4-526.000
482,             CV. SURYA TATA CEMERLANG          ,02.666.500.0-622.000
486,             CV INDOTECH GLOBAL          ,41.386.988.4-452.000
487,             CV. MULIA BERKAHTAMA ABADI          ,41.330.064.1-402.000
489,             PT Omega Media Global          ,75.558.723.5-403.000
495,             PT. TRIKARYA ABADI PRIMA          ,02.100.494.0-007.000
496,             PT WOLU BANGUN MANDIRI          ,02.675.971.2-003.000
498,             CV. BAHTERA EFISIEN          ,84.815.641.0-428.000
499,             PT. INSISTEK MITRA USAHA          ,72.075.996.8-061.000
501,             PT. BEST POWER SINERGY          ,76.339.519.1-043.000
505,             PT. WIRA ARTA TELEMATIKA          ,02.062.955.6-032.000
511,             PT. ERA PILINDO SAMUDERA          ,85.130.529.2-452.000
517,             CV. BATUPENJURU MITRA NUSANTARA          ,96.861.408.1-642.000
518,             CV. Cahaya Kurnia Mandiri          ,31.269.411.0-418.000
520,             PT. ANDALAS PROSPEK INDONESIA          ,95.047.683.8-205.000
522,             BAYU FAS MERAPI          ,72.204.018.5-407.000
524,             PT Pentasada Surya Dinamika          ,01.100.957.8-034.000
526,             PT. ANUGRAH KARYA INDONESIA          ,01.952.349.7-432.001
527,             CV Berkah Tjipta Raharja          ,21.073.233.5-426.000
529,             PT. DINAMIKA MAHAKARYA PERKASA          ,86.248.169.4-403.000
530,             CV. INSAN KARYA MANDIRI          ,02.108.344.9-405.000
531,             SATU JUARA          ,94.856.097.4-435.000
532,             PT. SENTRABUMI PALAPA UTAMA          ,01.592.793.2-631.000
551,             CITRA UTAMA          ,31.345.338.3-421.000
555,             CV Mata Djarum Semesta          ,95.439.150.4-444.000
558,             Zastin Sukses Mandiri          ,968103358405000
559,             PT. FARID MITRA UTAMA          ,90.352.911.3-009.000
560,             PT. Patrakom Teknologi Indonesia          ,93.747.059.9-031.000
561,             CV. Delina          ,02.612.488.3-903.000
563,             CV VERTIC          ,80.664.667.5-524.000
568,             Ide Cemerlang          ,31.709.972.9-421.000
