,kode,Link Paket,Link Peserta,Nama Paket,Detail Paket,Tender,SPSE,Nilai Kontrak,K/L/PD,Link Tahapan,HPS
0,3172469,https://lpse.basarnas.go.id/eproc4/lelang/3172469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3172469/peserta,Pembangunan Shelter Kendaraan,Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3172469/jadwal,270 Jt
1,3170469,https://lpse.basarnas.go.id/eproc4/lelang/3170469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3170469/peserta,Pekerjaan Special Inspection untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR 214 Kantor Pencarian dan Pertolongan Pontianak,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Ulang,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3170469/jadwal,"2,4 M"
2,3169469,https://lpse.basarnas.go.id/eproc4/lelang/3169469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3169469/peserta,Pekerjaan Spesial Inspection Untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Arjuna 229 Kantor Pencarian Dan Pertolongan Denpasar,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3169469/jadwal,"2,4 M"
3,3160469,https://lpse.basarnas.go.id/eproc4/lelang/3160469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3160469/peserta,Pekerjaan Special Inspection untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR 214 Kantor Pencarian dan Pertolongan Pontianak,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,Tender Dibatalkan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3160469/jadwal,"2,4 M"
4,3159469,https://lpse.basarnas.go.id/eproc4/lelang/3159469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3159469/peserta,Pekerjaan Special Inspection untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR 210 Kantor Pencarian dan Pertolongan Kendari,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3159469/jadwal,"2,5 M"
5,3155469,https://lpse.basarnas.go.id/eproc4/lelang/3155469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3155469/peserta,Pengadaan Penyedia Tenaga Alih Daya (Outsourching),Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3155469/jadwal,"954,5 Jt"
6,3153469,https://lpse.basarnas.go.id/eproc4/lelang/3153469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3153469/peserta,Pekerjaan Pemeliharaan Peralatan Komunikasi,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Dua File Sistem Nilai,nan,spse 4.4,"  Rp. 4.978.128.000,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3153469/jadwal,5 M
7,3147469,https://lpse.basarnas.go.id/eproc4/lelang/3147469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3147469/peserta,Pekerjaan Special Inspection untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Bharata 242 Kantor Pencarian dan Pertolongan Ambon,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3147469/jadwal,"2,2 M"
8,3146469,https://lpse.basarnas.go.id/eproc4/lelang/3146469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3146469/peserta,Pekerjaan Special Inspection untuk Pemeliharaan Kapal Penyelamatan (Rescue Boat) KN SAR Nakula 230 Kantor Pencarian dan Pertolongan Nias,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,  Nilai Kontrak belum dibuat,Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3146469/jadwal,"2,8 M"
9,3142469,https://lpse.basarnas.go.id/eproc4/lelang/3142469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3142469/peserta,Perpanjangan Lisensi Google dalam rangka Pembayaran License Aplikasi,Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 393.561.600,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3142469/jadwal,"399,3 Jt"
10,3141469,https://lpse.basarnas.go.id/eproc4/lelang/3141469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3141469/peserta,Pengadaan Peralatan Bantu Pengajaran Balai Pendidikan dan Pelatihan,Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 993.896.664,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3141469/jadwal,"999,9 Jt"
11,3132469,https://lpse.basarnas.go.id/eproc4/lelang/3132469/pengumumanlelang,https://lpse.basarnas.go.id/eproc4/lelang/3132469/peserta,"Belanja Jasa Lainnya, Penyediaan Tenaga Alih Daya ( Outsourching )",Jasa Lainnya - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur,nan,spse 4.4,"  Rp. 706.140.144,00",Badan Nasional Pencarian dan Pertolongan,/eproc4/lelang/3132469/jadwal,"719,7 Jt"
