id_lpse;nama_lpse;url;versi;id_repo;lengkap;status;id_wilayah;kategori
744;LPSE Institut Teknologi Sumatera;http://lpse.itera.ac.id/eproc4;;744;1;1;;5
713;LPSE Badan Keamanan Laut;http://lpse.bakamla.go.id/eproc4;4.5u20220520;713;1;1;;2
524;LPSE Badan Meteorologi, Klimatologi dan Geofisika;https://lpse.bmkg.go.id/eproc4;4.5u20220721;524;1;1;;2
469;LPSE Badan Nasional Pencarian dan Pertolongan (BASARNAS);http://lpse.basarnas.go.id/eproc4;;#N/A;1;1;;2
158;LPSE Badan Perlindungan Pekerja Migran Indonesia;https://lpse.bp2mi.go.id/eproc4;4.5u20220719;158;1;1;;2
1049;LPSE Badan Riset dan Inovasi Nasional;https://lpse.brin.go.id/eproc4;4.4u20220509;760;1;1;;2
491;LPSE Badan Siber dan Sandi Negara;https://lpse.bssn.go.id/eproc4;4.5u20220708;491;1;1;;2
1040;LPSE Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN);http://lpse.bkkbn.go.id/eproc4;4.5u20220420;130;1;1;;2
646;LPSE IAIN Bukittinggi;https://lpse.kemenag.go.id/eproc4;4.5u20220708;170;1;0;;5
403;LPSE Institut Agama Islam Negeri Raden Intan Lampung;https://lpse.kemenag.go.id/eproc4;4.5u20220708;170;1;0;;5
137;LPSE Institut Teknologi Bandung;https://lpse.itb.ac.id/eproc4;4.3u20191009;137;1;0;;5
68;LPSE Institut Teknologi Sepuluh Nopember;http://lpse.its.ac.id/eproc4;4.5u20220520;68;1;1;;5
651;LPSE Jasamarga;https://lpse.jasamarga.com/eproc4;4.5u20220216;651;1;1;;6
498;LPSE Kabupaten Aceh Barat;http://lpse.acehbaratkab.go.id/eproc4;4.5u20220520;498;1;1;;4
625;LPSE Kabupaten Aceh Barat Daya;http://lpse.acehbaratdayakab.go.id/eproc4;4.5u20220520;625;1;1;;4
426;LPSE Kabupaten Aceh Besar;http://lpse.acehbesarkab.go.id/eproc4;4.5u20220721;426;1;1;;4
628;LPSE Kabupaten Aceh Jaya;http://lpse.acehjayakab.go.id/eproc4;4.4u20220601;628;1;1;;4
460;LPSE Kabupaten Aceh Selatan;http://lpse.acehselatankab.go.id/eproc4;4.4u20220601;460;1;1;;4
508;LPSE Kabupaten Aceh Singkil;https://lpse.acehsingkilkab.go.id/eproc4;4.5u20220715;508;1;1;;4
505;LPSE Kabupaten Aceh Tamiang;https://lpse.acehtamiangkab.go.id/eproc4;4.4u20210715;505;1;1;;4
296;LPSE Kabupaten Aceh Tengah;http://lpse.acehtengahkab.go.id/eproc4;4.4u20211110;296;1;1;;4
330;LPSE Kabupaten Aceh Tenggara;http://lpse.acehtenggarakab.go.id/eproc4;4.4u20220601;330;1;1;;4
517;LPSE Kabupaten Aceh Timur;http://lpse.acehtimurkab.go.id/eproc4;4.5u20220620;517;1;1;;4
189;LPSE Kabupaten Aceh Utara;https://lpse.acehutara.go.id/eproc4;4.4u20220601;189;1;1;;4
645;LPSE Kabupaten Agam;http://lpse.agamkab.go.id/eproc4;4.5u20220708;645;1;1;;4
702;LPSE Kabupaten Alor;http://lpse.alorkab.go.id/eproc4;4.5u20220721;702;1;1;;4
407;LPSE Kabupaten Asahan;http://103.15.243.151/eproc4;4.5u20220708;407;1;1;;4
679;LPSE Kabupaten Asmat;http://lpse.asmatkab.go.id/eproc4;4.5u20220513;679;1;1;;4
113;LPSE Kabupaten Badung;http://lpse.badungkab.go.id/eproc4;4.5u20220721;113;1;1;;4
56;LPSE Kabupaten Balangan;https://lpse.balangankab.go.id/eproc4;4.5u20220801;56;1;1;;4
93;LPSE Kabupaten Bandung;http://lpse.bandungkab.go.id/eproc4;4.5u20220721;93;1;1;;4
703;LPSE Kabupaten Bandung Barat;http://lpse.bandungbaratkab.go.id/eproc4;4.5u20220715;703;1;1;;4
456;LPSE Kabupaten Banggai;http://lpse.banggaikab.go.id/eproc4;4.5u20220721;456;1;1;;4
626;LPSE Kabupaten Banggai Kepulauan;http://lpse.banggaikep.go.id/eproc4;4.5u20220613;626;1;1;;4
