url;Jumlah Data
http://lpse.itera.ac.id/eproc4;
http://lpse.bakamla.go.id/eproc4;259
https://lpse.bmkg.go.id/eproc4;3,222
http://lpse.basarnas.go.id/eproc4;1,899
https://lpse.bp2mi.go.id/eproc4;351
https://lpse.brin.go.id/eproc4;151
https://lpse.bssn.go.id/eproc4;894
http://lpse.bkkbn.go.id/eproc4;1,005
https://lpse.kemenag.go.id/eproc4;5,882
https://lpse.itb.ac.id/eproc4;
http://lpse.its.ac.id/eproc4;1,672
https://lpse.jasamarga.com/eproc4;
http://lpse.acehbaratkab.go.id/eproc4;1,986
http://lpse.acehbaratdayakab.go.id/eproc4;1,632
http://lpse.acehbesarkab.go.id/eproc4;2,141
http://lpse.acehjayakab.go.id/eproc4;2,259
http://lpse.acehselatankab.go.id/eproc4;2,339
https://lpse.acehsingkilkab.go.id/eproc4;1,772
https://lpse.acehtamiangkab.go.id/eproc4;1,616
http://lpse.acehtengahkab.go.id/eproc4;2,296
http://lpse.acehtenggarakab.go.id/eproc4;2,885
http://lpse.acehtimurkab.go.id/eproc4;2,1
https://lpse.acehutara.go.id/eproc4;2,991
http://lpse.agamkab.go.id/eproc4;1,334
http://lpse.alorkab.go.id/eproc4;417
http://103.15.243.151/eproc4;1,393
http://lpse.asmatkab.go.id/eproc4;185
http://lpse.badungkab.go.id/eproc4;5,316
https://lpse.balangankab.go.id/eproc4;1,979
http://lpse.bandungkab.go.id/eproc4;4,236
http://lpse.bandungbaratkab.go.id/eproc4;1,607
http://lpse.banggaikab.go.id/eproc4;1,623
http://lpse.banggaikep.go.id/eproc4;980
http://lpse.banggailautkab.go.id/eproc4;554
https://lpse.bangka.go.id/eproc4;2,054
https://lpse.bangkabaratkab.go.id/eproc4;1,678
https://lpse.bangkaselatankab.go.id/eproc4;1,42
https://lpse.bangkatengahkab.go.id/eproc4;1,895
https://lpse.bangkalankab.go.id/eproc4;1,874
http://lpse.banglikab.go.id/eproc4;811
https://lpse.banjarkab.go.id/eproc4;3,215
http://lpse.banjarnegarakab.go.id/eproc4;3,311
http://lpse.bantaengkab.go.id/eproc4;726
http://lpse.bantulkab.go.id/eproc4;2,742
http://lpse.banyuasinkab.go.id/eproc4;1,944
http://lpse.banyumaskab.go.id/eproc4;3,547
https://lpse.banyuwangikab.go.id/eproc4;3,286
https://lpse.baritokualakab.go.id/eproc4;1,919
https://lpse.baritoselatankab.go.id/eproc4;1,382
http://lpse.baritotimurkab.go.id/eproc4;940
https://lpse.baritoutarakab.go.id/eproc4;1,754
http://lpse.barrukab.go.id/eproc4;1,108
http://lpse.batangkab.go.id/eproc4;2,155
http://lpse.batangharikab.go.id/eproc4;1,482
https://lpse.batubarakab.go.id/eproc4;1,304
https://lpse.bekasikab.go.id/eproc4;12,344
https://lpse.belitung.go.id/eproc4;1,421
https://lpse.belitungtimurkab.go.id/eproc4;1,38
http://lpse.belukab.go.id/eproc4;1,685
http://203.130.195.99/eproc4;1,533
http://lpse.bengkaliskab.go.id/eproc4;4,402
http://lpse.bengkayangkab.go.id/eproc4;1,484
http://lpse.bengkuluselatankab.go.id/eproc4;1,26
http://lpse.bengkulutengahkab.go.id/eproc4;1,015
https://lpse.bengkuluutarakab.go.id/eproc4;1,541
https://spse.beraukab.go.id/eproc4;6,187
https://lpse.biakkab.go.id/eproc4;832
http://lpse.bimakab.go.id/eproc4;1,518
https://lpse.bintankab.go.id/eproc4;1,931
https://lpse.bireuenkab.go.id/eproc4;1,675
http://lpse.blitarkab.go.id/eproc4;2,766
https://lpse.blorakab.go.id/eproc4;3,35
https://lpse.boalemokab.go.id/eproc4;1,022
https://lpse.bogorkab.go.id/eproc4;10,39
http://lpse.bojonegorokab.go.id/eproc4;7,713
http://lpse.bolmongkab.go.id/eproc4;1,449
http://lpse.bolselkab.go.id/eproc4;1,197
http://lpse.boltimkab.go.id/eproc4;1,012
http://180.250.123.107/eproc4;759
http://lpse.bombanakab.go.id/eproc4;2,596
http://lpse.bondowosokab.go.id/eproc4;1,511
http://lpse.bone.go.id/eproc4;1,5
http://lpse.bonebolangokab.go.id/eproc4;1,024
https://lpse.bovendigoelkab.go.id/eproc4;7
https://lpse.boyolali.go.id/eproc4;2,423
http://lpse.brebeskab.go.id/eproc4;2,674
